// Iron Durability 
    // Iron Durability II

    data "SpellAnimation" "9122eb08-93f1-4010-a275-f5ae3ec7c76e,,;,,;2860e825-ec12-4008-8471-d797fc00abc4,,;b6540e92-9e06-4695-9d8e-552d5eac45c2,,;5301d674-b7da-47b6-b4cf-2802ba33a9e9,,;,,;86b3cf93-21fb-4a3d-bed9-97d0a567d084,,;,,;,,"
    data "VerbalIntent" "Utility"
    data "InterruptPrototype" "Interrupt_IronDurability_AbsorbElements"

    // Metamorphosis II 
    // Credit to Xhevo and his Mystic Class for the Metamorphosis forms https://www.nexusmods.com/baldursgate3/mods/2786
    
    new entry "Shout_MetamorphosisII_Enlarge"
    type "SpellData"
    data "SpellType" "Shout"
    data "TargetConditions" "Self()"
    data "Icon" "Spell_Transmutation_Enlarge"
    data "DisplayName" "[HANDLEShout_MetamorphosisII_EnlargeName]"
    data "Description" "[HANDLEShout_MetamorphosisII_EnlargeDesc]"
    data "TooltipStatusApply" "ApplyStatus(PSION_LARGE_FORM,100,10)"
    data "SpellProperties" "ApplyStatus(PSION_LARGE_FORM,100,10);ApplyStatus(PSION_LARGE_FORM_TEMPORARY_HP,100,10)"
    data "CastTextEvent" "Cast"
    data "UseCosts" "BonusActionPointActionPoint:1;PsiPointsResource:1"
    data "SpellAnimation" "9fd22d7d-5d7a-470b-a939-810046915bed,,;,,;1bce5b67-807e-4dc4-bfbf-b0b55f589e0c,,;4faf1d67-1b56-435b-973a-d3c228bb4348,,;2d19a206-bf18-4f4d-ba95-f83c5fc38fd7,,;,,;57db495b-2467-467b-a599-d7df2fa4d659,,;,,;,,;"
    data "SpellFlags" "IsSpell;IsMelee;Stealth;Invisible"
    data "HitAnimationType" "MagicalNonDamage"
    data "PrepareEffect" "7121a488-7c9a-4ba1-a585-f79aaa77e97c"
    data "CastEffect" "0198563f-c48b-45e0-afb5-46ef9576adff"
    data "TargetEffect" "b94fcfde-d824-4e7d-b9c5-833a50b66537"

    new entry "Shout_MetamorphosisII_Reduce"
    type "SpellData"
    data "SpellType" "Shout"
    data "TargetConditions" "Self()"
    data "Icon" "Spell_Transmutation_Reduce"
    data "DisplayName" "[HANDLEShout_MetamorphosisII_ReduceName]"
    data "Description" "[HANDLEShout_MetamorphosisII_ReduceDesc]"
    data "TooltipStatusApply" "ApplyStatus(PSION_TINY_FORM,100,10)"
    data "SpellProperties" "ApplyStatus(PSION_TINY_FORM,100,10);ApplyStatus(PSION_TINY_FORM_TEMPORARY_HP,100,10)"
    data "CastTextEvent" "Cast"
    data "UseCosts" "BonusActionPointActionPoint:1;PsiPointsResource:1"
    data "SpellAnimation" "9fd22d7d-5d7a-470b-a939-810046915bed,,;,,;1bce5b67-807e-4dc4-bfbf-b0b55f589e0c,,;4faf1d67-1b56-435b-973a-d3c228bb4348,,;2d19a206-bf18-4f4d-ba95-f83c5fc38fd7,,;,,;57db495b-2467-467b-a599-d7df2fa4d659,,;,,;,,;"
    data "SpellFlags" "IsSpell;IsMelee;Stealth;Invisible"
    data "HitAnimationType" "MagicalNonDamage"
    data "PrepareEffect" "7121a488-7c9a-4ba1-a585-f79aaa77e97c"
    data "CastEffect" "0198563f-c48b-45e0-afb5-46ef9576adff"
    data "TargetEffect" "b94fcfde-d824-4e7d-b9c5-833a50b66537"

    // Metamorphosis III
    // Polymorph on yourself is terrible in BG3. Will think of alternatives.
    new entry "Shout_MetamorphosisIII_Polymorph"
    using "Target_Polymorph"
    type "SpellData"
    data "SpellType" "Shout"
    data "ContainerSpells" "Target_Polymorph_Badger_Ally_Psion;Target_Polymorph_Bear_Polar_Ally_Psion;Target_Polymorph_Boar_Ally_Psion;Target_Polymorph_Cat_Ally_Psion;Target_Polymorph_Crab_Ally_Psion;Target_Polymorph_DeepRothe_Ally_Psion;Target_Polymorph_Dilophosaurus_Ally_Psion;Target_Polymorph_Dog_Ally_Psion;Target_Polymorph_Frog_Ally_Psion;Target_Polymorph_Owlbear_Ally_Psion;Target_Polymorph_Panther_Ally_Psion;Target_Polymorph_Rat_Ally_Psion;Target_Polymorph_Raven_Ally_Psion;Target_Sheep_All;Target_Polymorph_SaberTooth_Tiger_Ally_Psion;Target_Polymorph_Spider_Ally_Psion;Target_Polymorph_Wolf_Dire_Ally_Psion" 
    data "Level" ""
    data "TargetRadius" ""
    data "TargetConditions" "Self() and not IsImmuneToStatus('SG_Polymorph')"
    data "TooltipAttackSave" ""
    data "UseCosts" "BonusActionPoint:1;PsiPointsResource:3"
    data "MemoryCost" ""

    // Metamorphosis IV 
    // Credit to Xhevo and his Mystic Class for the Metamorphosis forms https://www.nexusmods.com/baldursgate3/mods/2786

    new entry "Shout_MetamorphosisIV_Enlarge"
    type "SpellData"
    data "SpellType" "Shout"
    data "Icon" "Spell_Transmutation_Enlarge"
    data "DisplayName" "[HANDLEShout_MetamorphosisIV_EnlargeName]"
    data "Description" "[HANDLEShout_MetamorphosisIV_EnlargeDesc]"
    data "DescriptionParams" "Level+SpellCastingAbilityModifier;DealDamage(2d6,MainMeleeWeaponDamageType);Distance(3)"
    data "TargetConditions" "Self()"
    data "TooltipStatusApply" "ApplyStatus(PSION_HUGE_FORM,100,10)"
    data "SpellProperties" "ApplyStatus(PSION_HUGE_FORM,100,10);ApplyStatus(PSION_HUGE_FORM_TEMPORARY_HP,100,10)"
    data "CastSound" "Spell_Cast_Utility_Light_L0"
    data "TargetSound" "Spell_Impact_Utility_Light_L0"
    data "CastTextEvent" "Cast"
    data "UseCosts" "BonusActionPoint:1;PsiPointsResource:5"
    data "SpellAnimation" "9fd22d7d-5d7a-470b-a939-810046915bed,,;,,;1bce5b67-807e-4dc4-bfbf-b0b55f589e0c,,;4faf1d67-1b56-435b-973a-d3c228bb4348,,;2d19a206-bf18-4f4d-ba95-f83c5fc38fd7,,;,,;57db495b-2467-467b-a599-d7df2fa4d659,,;,,;,,;"
    data "SpellFlags" "IsSpell;IsMelee;Stealth;Invisible"
    data "HitAnimationType" "MagicalNonDamage"
    data "PrepareEffect" "7121a488-7c9a-4ba1-a585-f79aaa77e97c"
    data "CastEffect" "0198563f-c48b-45e0-afb5-46ef9576adff"
    data "TargetEffect" "b94fcfde-d824-4e7d-b9c5-833a50b66537"
    
    new entry "Shout_MetamorphosisIV_Reduce"
    type "SpellData"
    data "SpellType" "Shout"
    data "TargetConditions" "Self()"
    data "Icon" "Spell_Transmutation_Reduce"
    data "DisplayName" "[HANDLEShout_MetamorphosisIV_ReduceName]"
    data "Description" "[HANDLEShout_MetamorphosisIV_ReduceDesc]"
    data "TooltipStatusApply" "ApplyStatus(PSION_DIMINUTIVE_FORM,100,10)"
    data "SpellProperties" "ApplyStatus(PSION_DIMINUTIVE_FORM,100,10);ApplyStatus(PSION_DIMINUTIVE_FORM_TEMPORARY_HP,100,10)"
    data "CastTextEvent" "Cast"
    data "UseCosts" "BonusActionPointActionPoint:1;PsiPointsResource:5"
    data "SpellAnimation" "9fd22d7d-5d7a-470b-a939-810046915bed,,;,,;1bce5b67-807e-4dc4-bfbf-b0b55f589e0c,,;4faf1d67-1b56-435b-973a-d3c228bb4348,,;2d19a206-bf18-4f4d-ba95-f83c5fc38fd7,,;,,;57db495b-2467-467b-a599-d7df2fa4d659,,;,,;,,;"
    data "SpellFlags" "IsSpell;IsMelee;Stealth;Invisible"
    data "HitAnimationType" "MagicalNonDamage"
    data "PrepareEffect" "7121a488-7c9a-4ba1-a585-f79aaa77e97c"
    data "CastEffect" "0198563f-c48b-45e0-afb5-46ef9576adff"
    data "TargetEffect" "b94fcfde-d824-4e7d-b9c5-833a50b66537"




// Precognition

    // Precognition II

    new entry "Shout_PrecognitionII_Shield"
    type "SpellData"
    data "SpellType" "Shout"
    data "TargetConditions" "Self()"
    data "Icon" "PassiveFeature_Parry"
    data "DisplayName" "ha46c69a1g1c80g46a8g9b8bg2222ad4de804"
    data "Description" "h42882c04g28e5g400cga51egfe4ca2f8468c"
    data "DescriptionParams" "3"
    data "CastTextEvent" "Cast"
    data "UseCosts" "ReactionActionPoint:1"
    data "SpellAnimation" "9122eb08-93f1-4010-a275-f5ae3ec7c76e,,;,,;2860e825-ec12-4008-8471-d797fc00abc4,,;b6540e92-9e06-4695-9d8e-552d5eac45c2,,;5301d674-b7da-47b6-b4cf-2802ba33a9e9,,;,,;86b3cf93-21fb-4a3d-bed9-97d0a567d084,,;,,;,,"
    data "VerbalIntent" "Utility"
    data "SpellFlags" "IsSpell"
    data "InterruptPrototype" "Interrupt_PrecognitionII_Shield"


    // Precognition II

    new entry "Shout_PrecognitionIII_Defense"
    type "SpellData"
    data "SpellType" "Shout"
    data "TargetConditions" "Self()"
    data "Icon" "Spell_Shield"
    data "DisplayName" "hda7d43fbg19f1g4427g9185g6c7450208263"
    data "Description" "h7387ae92g91dfg4347ga6b7gded81bd89b69"
    data "CastTextEvent" "Cast"
    data "PrepareSound" "Spell_Prepare_Buff_BlessingOfTheTickster_L1to3"
    data "PrepareLoopSound" "Spell_Prepare_Buff_BlessingOfTheTickster_L1to3_Loop"
    data "PrepareEffect" "60ec0a2d-1b72-4fb2-9eaf-571638aca25d"
    data "CastEffect" "6d072523-11f5-4b1b-a2d8-24ade34a315d"
    data "TargetEffect" "4df0bae6-fccf-48a0-804c-3edc40264d07"
    data "PositionEffect" "2832c7dd-14bd-4c51-9d2a-599c2c19005f"
    data "SpellAnimation" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5,,;,,;09ae2f11-f5b4-42f5-ae16-687a5b57d500,,;10caea0e-c949-4d91-8ab7-3b50019dd054,,;a9682ef9-5d9e-4ac0-8144-2c7fe6eb868c,,;,,;32fb4d91-7fde-4b05-9144-ea87b9a4284a,,;,,;,,"
    data "VerbalIntent" "Buff"
    data "UseCosts" "BonusActionPoint:1;PsiPointsResource:3"
    data "SpellFlags" "IsSpell;IsConcentration"
    data "SpellProperties" "ApplyStatus(SELF,PRECOGNITIONIII_DEFENSE,100,10);ApplyStatus(SELF,DISABLE_CRITICALHITS,100,0)"

    new entry "Shout_PrecognitionIII_Defense_Reaction"
    type "SpellData"
    data "SpellType" "Shout"
    data "TargetConditions" "Self()"
    data "Icon" "Spell_Shield"
    data "DisplayName" "hda7d43fbg19f1g4427g9185g6c7450208263"
    data "Description" "h7387ae92g91dfg4347ga6b7gded81bd89b69"
    data "CastTextEvent" "Cast"
    data "UseCosts" ""
    data "SpellFlags" "IsSpell"
    data "InterruptPrototype" "Interrupt_PrecognitionIII_Defense"
